ESTAR: Stopping Powers and Range Tables for Electrons

material pouzdra (Density=0.76260905 g/cm3) (I=128.9 eV)

Kinetic   	Collision	Radiative	Total    	D. Effect	
Energy    	Stp. Pow.	Stp. Pow.	Stp. Pow.	Parameter	
MeV       	MeV cm2/g	MeV cm2/g	MeV cm2/g	         	

 1.000E-03	8.649E+01	3.420E-03	8.650E+01	0.000E+00	
 1.500E-03	6.837E+01	3.872E-03	6.837E+01	0.000E+00	
 2.000E-03	5.700E+01	4.161E-03	5.701E+01	0.000E+00	
 2.500E-03	4.918E+01	4.368E-03	4.919E+01	0.000E+00	
 3.000E-03	4.344E+01	4.525E-03	4.344E+01	0.000E+00	
 3.500E-03	3.902E+01	4.647E-03	3.903E+01	0.000E+00	
 4.000E-03	3.551E+01	4.747E-03	3.552E+01	0.000E+00	
 4.500E-03	3.264E+01	4.830E-03	3.265E+01	0.000E+00	
 5.000E-03	3.025E+01	4.900E-03	3.026E+01	0.000E+00	
 6.000E-03	2.649E+01	5.011E-03	2.649E+01	0.000E+00	
 7.000E-03	2.364E+01	5.096E-03	2.365E+01	0.000E+00	
 8.000E-03	2.141E+01	5.163E-03	2.141E+01	0.000E+00	
 9.000E-03	1.961E+01	5.216E-03	1.961E+01	0.000E+00	
 1.000E-02	1.812E+01	5.260E-03	1.812E+01	0.000E+00	
 1.500E-02	1.334E+01	5.397E-03	1.334E+01	0.000E+00	
 2.000E-02	1.073E+01	5.469E-03	1.074E+01	0.000E+00	
 2.500E-02	9.071E+00	5.513E-03	9.076E+00	0.000E+00	
 3.000E-02	7.915E+00	5.544E-03	7.921E+00	0.000E+00	
 3.500E-02	7.062E+00	5.569E-03	7.067E+00	0.000E+00	
 4.000E-02	6.404E+00	5.592E-03	6.409E+00	0.000E+00	
 4.500E-02	5.880E+00	5.614E-03	5.886E+00	0.000E+00	
 5.000E-02	5.454E+00	5.635E-03	5.459E+00	0.000E+00	
 6.000E-02	4.798E+00	5.678E-03	4.804E+00	0.000E+00	
 7.000E-02	4.319E+00	5.723E-03	4.324E+00	0.000E+00	
