ESTAR: Stopping Powers and Range Tables for Electrons

material pouzdra (Density=0.76260905 g/cm3) (I=128.9 eV)

Kinetic   	Collision	Radiative	Total    	CSDA     	Radiation	D. Effect	
Energy    	Stp. Pow.	Stp. Pow.	Stp. Pow.	Range    	Yield    	Parameter	
MeV       	MeV cm2/g	MeV cm2/g	MeV cm2/g	g/cm2    	         	         	

 1.000E-02	1.812E+01	5.260E-03	1.812E+01	3.188E-04	1.570E-04	0.000E+00	
 1.250E-02	1.531E+01	5.342E-03	1.532E+01	4.695E-04	1.896E-04	0.000E+00	
 1.500E-02	1.334E+01	5.397E-03	1.334E+01	6.449E-04	2.208E-04	0.000E+00	
 1.750E-02	1.187E+01	5.438E-03	1.188E+01	8.439E-04	2.509E-04	0.000E+00	
 2.000E-02	1.073E+01	5.469E-03	1.074E+01	1.066E-03	2.800E-04	0.000E+00	
 2.500E-02	9.071E+00	5.513E-03	9.076E+00	1.574E-03	3.358E-04	0.000E+00	
 3.000E-02	7.915E+00	5.544E-03	7.921E+00	2.166E-03	3.888E-04	0.000E+00	
 3.500E-02	7.062E+00	5.569E-03	7.067E+00	2.836E-03	4.396E-04	0.000E+00	
 4.000E-02	6.404E+00	5.592E-03	6.409E+00	3.580E-03	4.885E-04	0.000E+00	
 4.500E-02	5.880E+00	5.614E-03	5.886E+00	4.395E-03	5.357E-04	0.000E+00	
 5.000E-02	5.454E+00	5.635E-03	5.459E+00	5.278E-03	5.814E-04	0.000E+00	
 5.500E-02	5.099E+00	5.656E-03	5.104E+00	6.226E-03	6.259E-04	0.000E+00	
 6.000E-02	4.798E+00	5.678E-03	4.804E+00	7.236E-03	6.691E-04	0.000E+00	
 7.000E-02	4.319E+00	5.723E-03	4.324E+00	9.434E-03	7.526E-04	0.000E+00	
 8.000E-02	3.951E+00	5.772E-03	3.957E+00	1.186E-02	8.324E-04	0.000E+00	
 9.000E-02	3.661E+00	5.825E-03	3.667E+00	1.448E-02	9.093E-04	0.000E+00	
 1.000E-01	3.426E+00	5.882E-03	3.432E+00	1.730E-02	9.835E-04	0.000E+00	
 1.250E-01	2.997E+00	6.039E-03	3.003E+00	2.512E-02	1.160E-03	0.000E+00	
 1.500E-01	2.707E+00	6.214E-03	2.713E+00	3.390E-02	1.325E-03	0.000E+00	
 1.750E-01	2.498E+00	6.404E-03	2.504E+00	4.351E-02	1.482E-03	0.000E+00	
 2.000E-01	2.341E+00	6.608E-03	2.348E+00	5.384E-02	1.633E-03	0.000E+00	
 2.500E-01	2.123E+00	7.050E-03	2.130E+00	7.627E-02	1.919E-03	0.000E+00	
 3.000E-01	1.981E+00	7.538E-03	1.989E+00	1.006E-01	2.191E-03	0.000E+00	
 3.500E-01	1.882E+00	8.061E-03	1.891E+00	1.264E-01	2.453E-03	0.000E+00	
 4.000E-01	1.811E+00	8.618E-03	1.820E+00	1.534E-01	2.709E-03	0.000E+00	
 4.500E-01	1.759E+00	9.207E-03	1.768E+00	1.813E-01	2.960E-03	0.000E+00	
 5.000E-01	1.719E+00	9.823E-03	1.729E+00	2.099E-01	3.209E-03	0.000E+00	
 5.500E-01	1.688E+00	1.046E-02	1.698E+00	2.391E-01	3.456E-03	0.000E+00	
 6.000E-01	1.664E+00	1.113E-02	1.675E+00	2.688E-01	3.701E-03	0.000E+00	
 7.000E-01	1.631E+00	1.251E-02	1.643E+00	3.291E-01	4.191E-03	0.000E+00	
 8.000E-01	1.610E+00	1.397E-02	1.624E+00	3.903E-01	4.680E-03	0.000E+00	
 9.000E-01	1.597E+00	1.549E-02	1.613E+00	4.521E-01	5.171E-03	6.509E-03	
 1.000E+00	1.589E+00	1.707E-02	1.606E+00	5.143E-01	5.665E-03	2.164E-02	
 1.250E+00	1.581E+00	2.124E-02	1.602E+00	6.702E-01	6.919E-03	7.754E-02	
 1.500E+00	1.583E+00	2.570E-02	1.608E+00	8.260E-01	8.201E-03	1.475E-01	
 1.750E+00	1.588E+00	3.040E-02	1.619E+00	9.810E-01	9.511E-03	2.232E-01	
 2.000E+00	1.596E+00	3.528E-02	1.631E+00	1.135E+00	1.085E-02	3.005E-01	
 2.500E+00	1.613E+00	4.554E-02	1.659E+00	1.439E+00	1.358E-02	4.524E-01	
 3.000E+00	1.630E+00	5.632E-02	1.687E+00	1.738E+00	1.639E-02	5.959E-01	
 3.500E+00	1.646E+00	6.752E-02	1.714E+00	2.032E+00	1.925E-02	7.298E-01	
