Energy (MeV), Eff. Atomic Number
0.01, 7.496654
0.015, 7.515134
0.02, 7.517634
0.03, 7.490486
0.04, 7.444145
0.05, 7.397892
0.06, 7.361494
0.08, 7.316807
0.1, 7.294843
0.15, 7.274785
0.2, 7.268957
0.3, 7.265342
0.4, 7.264462
0.5, 7.263802
0.6, 7.263686
0.8, 7.263394
1, 7.263113
1.022, 7.263259
1.25, 7.263273
1.5, 7.263327
2, 7.263647
2.044, 7.263826
3, 7.265284
4, 7.267112
5, 7.268775
6, 7.270691
7, 7.272161
8, 7.273571
9, 7.274792
10, 7.275907
11, 7.277053
12, 7.278018
13, 7.279042
14, 7.279723
15, 7.280313
16, 7.280958
18, 7.282256
20, 7.28324
22, 7.283946
24, 7.284506
26, 7.285477
28, 7.285713
30, 7.286054
40, 7.288087
50, 7.289103
60, 7.289866
80, 7.290292
100, 7.290716
150, 7.290972
200, 7.29124
300, 7.291362
400, 7.291557
500, 7.291802
600, 7.291864
800, 7.292072
1000, 7.292061
