ESTAR: Stopping Powers and Range Tables for Electrons

AIR, DRY (NEAR SEA LEVEL)                                              

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

E[MeV]	S_col[MeV cm2/g]	S_rad[MeV cm2/g]	S_total[MeV cm2/g]
1.000E-02	1.975E+01	3.897E-03	1.976E+01
1.500E-02	1.444E+01	3.937E-03	1.445E+01
2.000E-02	1.157E+01	3.954E-03	1.158E+01
2.500E-02	9.753E+00	3.966E-03	9.757E+00
3.000E-02	8.491E+00	3.976E-03	8.495E+00
3.500E-02	7.562E+00	3.986E-03	7.566E+00
4.000E-02	6.848E+00	3.998E-03	6.852E+00
4.500E-02	6.280E+00	4.011E-03	6.284E+00
5.000E-02	5.818E+00	4.025E-03	5.822E+00
6.000E-02	5.110E+00	4.057E-03	5.114E+00
7.000E-02	4.593E+00	4.093E-03	4.597E+00
8.000E-02	4.197E+00	4.133E-03	4.201E+00
9.000E-02	3.885E+00	4.175E-03	3.889E+00
1.000E-01	3.633E+00	4.222E-03	3.637E+00
1.500E-01	2.861E+00	4.485E-03	2.865E+00
2.000E-01	2.469E+00	4.789E-03	2.474E+00
2.500E-01	2.236E+00	5.126E-03	2.241E+00
3.000E-01	2.084E+00	5.495E-03	2.089E+00
3.500E-01	1.978E+00	5.890E-03	1.984E+00
4.000E-01	1.902E+00	6.311E-03	1.908E+00
4.500E-01	1.845E+00	6.757E-03	1.852E+00
5.000E-01	1.802E+00	7.223E-03	1.809E+00
6.000E-01	1.743E+00	8.210E-03	1.751E+00
7.000E-01	1.706E+00	9.258E-03	1.715E+00
8.000E-01	1.683E+00	1.036E-02	1.694E+00
9.000E-01	1.669E+00	1.151E-02	1.681E+00
1.000E+00	1.661E+00	1.271E-02	1.674E+00
1.500E+00	1.661E+00	1.927E-02	1.680E+00
2.000E+00	1.684E+00	2.656E-02	1.711E+00
2.500E+00	1.712E+00	3.437E-02	1.747E+00
3.000E+00	1.740E+00	4.260E-02	1.783E+00
3.500E+00	1.766E+00	5.115E-02	1.817E+00
4.000E+00	1.790E+00	5.999E-02	1.850E+00
4.500E+00	1.812E+00	6.908E-02	1.881E+00
5.000E+00	1.833E+00	7.838E-02	1.911E+00
6.000E+00	1.870E+00	9.754E-02	1.967E+00
7.000E+00	1.902E+00	1.173E-01	2.020E+00
8.000E+00	1.931E+00	1.376E-01	2.068E+00
9.000E+00	1.956E+00	1.584E-01	2.115E+00
1.000E+01	1.979E+00	1.795E-01	2.159E+00
1.500E+01	2.069E+00	2.895E-01	2.359E+00
2.000E+01	2.134E+00	4.042E-01	2.539E+00
2.500E+01	2.185E+00	5.219E-01	2.707E+00
3.000E+01	2.226E+00	6.417E-01	2.868E+00
3.500E+01	2.257E+00	7.630E-01	3.020E+00
4.000E+01	2.282E+00	8.855E-01	3.167E+00
4.500E+01	2.302E+00	1.009E+00	3.311E+00
5.000E+01	2.319E+00	1.133E+00	3.452E+00
6.000E+01	2.347E+00	1.384E+00	3.731E+00
7.000E+01	2.369E+00	1.637E+00	4.006E+00
8.000E+01	2.387E+00	1.892E+00	4.279E+00
9.000E+01	2.403E+00	2.148E+00	4.551E+00
1.000E+02	2.417E+00	2.405E+00	4.822E+00
1.500E+02	2.468E+00	3.705E+00	6.173E+00
2.000E+02	2.502E+00	5.018E+00	7.520E+00
2.500E+02	2.529E+00	6.340E+00	8.868E+00
3.000E+02	2.550E+00	7.667E+00	1.022E+01
3.500E+02	2.567E+00	8.998E+00	1.157E+01
4.000E+02	2.582E+00	1.033E+01	1.292E+01
4.500E+02	2.595E+00	1.167E+01	1.427E+01
5.000E+02	2.606E+00	1.301E+01	1.562E+01
6.000E+02	2.625E+00	1.569E+01	1.832E+01
7.000E+02	2.641E+00	1.838E+01	2.102E+01
8.000E+02	2.653E+00	2.107E+01	2.372E+01
9.000E+02	2.664E+00	2.376E+01	2.643E+01
1.000E+03	2.674E+00	2.646E+01	2.913E+01
